Title,Size (m²),Zone,Status,Description
Apartamento T2 com varanda e estacionamento nas Avenidas Novas,99.0,Avenidas Novas (Nossa Senhora de Fátima),Em construção,"Apartamento T2 de 91,5m2 com varanda e 1 lugar de estacionamento num novo empreendimento nas Avenidas Novas.  Localizado na envolvente dos jardins da Gulbenkian, numa zona calma, próximo ao Parque Eduardo VII e ao El Corte "
Apartamento T3 duplex com varanda e estacionamento nas Avenidas Novas,227.0,Avenidas Novas (Nossa Senhora de Fátima),Em construção,"Apartamento T3+1 duplex com 175,5m2 com terraços num total de 51,2m2 e 3 lugares de estacionamento num novo empreendimento nas Avenidas Novas.  Localizado na envolvente dos jardins da Gulbenkian, numa zona calma, próximo ao "
Apartamento T3 com varanda e estacionamento nas Avenidas Novas,150.0,Avenidas Novas (Nossa Senhora de Fátima),Em construção,"Apartamento T3 com 142,5m2 com varanda e 2 lugares de estacionamento num novo empreendimento nas Avenidas Novas.  Localizado na envolvente dos jardins da Gulbenkian, numa zona calma, próximo ao Parque Eduardo VII e ao El "
Apartamento T2 com varanda e estacionamento nas Avenidas Novas,115.0,Saldanha (São Sebastião da Pedreira),Novo,"Apartamento T2 com 103,64 m2, varanda e estacionamento em novo empreendimento numa localização muito central nas Avenidas Novas.  Este edifício residencial moderno foi concebido para o seu conforto e bem-estar e oferece um "
Apartamento T3 duplex com terraço na Ajuda,124.0,Alto de Santo Amaro,Em construção,"Apartamento T3 duplex com 108m2 e terraço de 15.35m2 inserido em novo empreendimento a nascer na histórica e emblemática zona da Ajuda em Lisboa.  O empreendimento conta com 8 apartamentos, 6 dos quais de tipologia T2 e 2 de "
Apartamento T3 com terraço e estacionamento na Av. Duque de Loulé,197.0,Duque de Loulé (Coração de Jesus),Em construção,"Apartamento T3 com 146m2, varanda, terraço de 42m2 e 1 lugar de estacionamento em novo edifício residencial de arquitetura moderna situado na Avenida Duque de Loulé, uma das principais artérias do centro de Lisboa, a dois "
Apartamento t2 Cavaleira Mem Martins com parqueamento Semi Novo,115.0,Algueirão-Mem Martins,Usado,"Apartamento na Cavaleira numa das arterias principais, apartamento esta como novo ,sala com 44 m2 oportunidade. Boa exposiçao solar. perto do Pingo "
Apartamento T2 na Av. Duque de Loulé,91.0,Duque de Loulé (Coração de Jesus),Em construção,"Apartamento T2 com 91m2 e estacionamento em novo edifício residencial de arquitetura moderna situado na Avenida Duque de Loulé, uma das principais artérias do centro de Lisboa, a dois passos do Marquês de Pombal.  Com apenas "
"Apartamento T1 com parqueamento e arrecadação no Casal da Mira, Amadora",76.0,Casal da Mira (Mina),Renovado,"Apartamento T1 com Parqueamento e Arrecadação, com área total de 76 m2, situado no Casal da Mira, na Amadora.   Referência: PF1904  Apartamento composto por: - Hall / Corredor - Sala - Cozinha - Despensa - Wc completo  - 1 "
"T2 remodelação total,vista de mar,Monte de Estoril",82.0,Monte Estoril,Recuperado,"Descrição do imóvel:  -4º andar com elevador  -Hall de entrada – 3m2 -Corredor (com roupeiro 3m) - 7m2 - Sala comum – 26m2 -Cozinha equipada com esquentador, fogão(gás natural), exaustor, máq.lavar loiça, máq.lavar roupa – "
Penthouse duplex com estacionamento na Av. da Liberdade,211.0,Av. da Liberdade (Coração de Jesus),Em construção,"Penthouse T3 duplex com 195m2, varanda de 16m2 e estacionamento em novo empreendimento.  O empreendimento com apenas 9 apartamentos, 1 por piso e fica situado no centro de Lisboa a poucos passos da Avenida da Liberdade. "
Apartamento tipologia T2 com dois W.C,90.0,Barrada (Carregado),Usado,"Apartamento T2 composto por sala com lareira c/ recuperador de calor, cozinha semi-equipada com despensa, 2 wc´s, 2 quartos com roupeiros embutidos e um deles com varanda. Arrecadação no sótão. Localizada numa zona Nobre da "
Apartamento com jardim e piscina Av. da Liberdade,294.0,Av. da Liberdade (Coração de Jesus),Em construção,"Apartamento T3 duplex com 189m2, jardim de 105m2 com piscina e estacionamento em novo empreendimento.  O empreendimento com apenas 9 apartamentos, 1 por piso e fica situado no centro de Lisboa a poucos passos da Avenida da "
Apartamento T3 perto do Marquês de Pombal,194.0,Marquês de Pombal (Coração de Jesus),Novo,"Apartamento T3 com 194m2 inserido em novo empreendimento, pronto a habitar, situado próximo do Marquês de Pombal, mesmo no centro de Lisboa.  Com apenas 6 pisos e 1 apartamento por piso, o empreendimento assume-se como a "
Apartamento T2 com jardim perto do Marquês de Pombal,147.0,Marquês de Pombal (Coração de Jesus),Novo,"Apartamento T2 com 109m2 com jardim privativo de 38m2 inserido em novo empreendimento, pronto a habitar, situado próximo do Marquês de Pombal, mesmo no centro de Lisboa.  Com apenas 6 pisos e 1 apartamento por piso, o "
